line,series,status,checked,source
jr-central.tokaido-shinkansen,n700s,active,,draft
jr-central.tokaido-shinkansen,n700,active,,draft
jr-central.tokaido-shinkansen,700,retired,,draft
jr-central.tokaido-shinkansen,500,retired,,draft
jr-central.tokaido-shinkansen,300,retired,,draft
jr-central.tokaido-shinkansen,100,retired,,draft
jr-central.tokaido-shinkansen,0,retired,,draft
jr-west.sanyo-shinkansen,n700s,active,,draft
jr-west.sanyo-shinkansen,n700,active,,draft
jr-west.sanyo-shinkansen,700,active,,draft
jr-west.sanyo-shinkansen,500,active,,draft
jr-west.sanyo-shinkansen,300,retired,,draft
jr-west.sanyo-shinkansen,100,retired,,draft
jr-west.sanyo-shinkansen,0,retired,,draft
jr-kyushu.kyushu-shinkansen,800,active,,draft
jr-kyushu.kyushu-shinkansen,n700,active,,draft
jr-kyushu.nishi-kyushu-shinkansen,n700s,active,,draft
jr-east.tohoku-shinkansen,e5,active,,draft
jr-east.tohoku-shinkansen,e6,active,,draft
jr-east.tohoku-shinkansen,e3,active,,draft
jr-east.tohoku-shinkansen,e8,active,,draft
jr-east.tohoku-shinkansen,h5,active,,draft
jr-east.tohoku-shinkansen,e2,active,,draft
jr-east.tohoku-shinkansen,e4,retired,,draft
jr-east.tohoku-shinkansen,e1,retired,,draft
jr-east.tohoku-shinkansen,200,retired,,draft
jr-east.tohoku-shinkansen,400,retired,,draft
jr-east.joetsu-shinkansen,e7,active,,draft
jr-east.joetsu-shinkansen,e2,retired,,draft
jr-east.joetsu-shinkansen,e4,retired,,draft
jr-east.joetsu-shinkansen,e1,retired,,draft
jr-east.joetsu-shinkansen,200,retired,,draft
jr-east.hokuriku-shinkansen,e7,active,,draft
jr-east.hokuriku-shinkansen,w7,active,,draft
jr-east.hokuriku-shinkansen,e2,retired,,draft
jr-west.hokuriku-shinkansen,e7,active,,draft
jr-west.hokuriku-shinkansen,w7,active,,draft
jr-hokkaido.hokkaido-shinkansen,h5,active,,draft
jr-hokkaido.hokkaido-shinkansen,e5,active,,draft
jr-east.yamanote,e235,active,,draft
jr-east.yamanote,e231,retired,,draft
jr-east.yamanote,205,retired,,draft
jr-east.yamanote,103,retired,,draft
jr-east.chuo,e233,active,,draft
jr-east.chuo,e231,active,,draft
jr-east.chuo,e353,active,,draft
jr-east.chuo,tokyo-metro-05,active,,draft
jr-east.chuo,tokyo-metro-15000,active,,draft
jr-east.chuo,toyo-rapid-2000,active,,draft
jr-east.chuo,211,retired,,draft
jr-east.chuo,e257,retired,,draft
jr-east.chuo,e351,retired,,draft
jr-east.chuo,201,retired,,draft
jr-east.chuo,103,retired,,draft
tokyo-metro.ginza,tokyo-metro-1000,active,,draft
tokyo-metro.ginza,tokyo-metro-01,retired,,draft
tokyo-metro.marunouchi,tokyo-metro-2000,active,,draft
tokyo-metro.marunouchi,tokyo-metro-02,retired,,draft
tokyo-metro.marunouchi-branch,tokyo-metro-2000,active,,draft
tokyo-metro.marunouchi-branch,tokyo-metro-02,retired,,draft
tokyo-metro.hibiya,tokyo-metro-13000,active,,draft
tokyo-metro.hibiya,tobu-70000,active,,draft
tokyo-metro.hibiya,tokyo-metro-03,retired,,draft
tokyo-metro.hibiya,tobu-20000,retired,,draft
tokyo-metro.tozai,tokyo-metro-05,active,,draft
tokyo-metro.tozai,tokyo-metro-15000,active,,draft
tokyo-metro.tozai,tokyo-metro-07,active,,draft
tokyo-metro.tozai,e231,active,,draft
tokyo-metro.tozai,toyo-rapid-2000,active,,draft
tokyo-metro.tozai,tokyo-metro-5000,retired,,draft
tokyo-metro.tozai,103,retired,,draft
tokyo-metro.chiyoda,tokyo-metro-16000,active,,draft
tokyo-metro.chiyoda,e233,active,,draft
tokyo-metro.chiyoda,odakyu-4000,active,,draft
tokyo-metro.chiyoda,odakyu-60000-mse,active,,draft
tokyo-metro.chiyoda,tokyo-metro-6000,retired,,draft
tokyo-metro.chiyoda,tokyo-metro-06,retired,,draft
tokyo-metro.yurakucho,tokyo-metro-10000,active,,draft
tokyo-metro.yurakucho,tokyo-metro-17000,active,,draft
tokyo-metro.yurakucho,tobu-9000,active,,draft
tokyo-metro.yurakucho,tobu-50000,active,,draft
tokyo-metro.yurakucho,seibu-6000,active,,draft
tokyo-metro.yurakucho,seibu-40000,active,,draft
tokyo-metro.yurakucho,tokyo-metro-7000,retired,,draft
tokyo-metro.yurakucho,tokyo-metro-07,retired,,draft
tokyo-metro.fukutoshin,tokyo-metro-10000,active,,draft
tokyo-metro.fukutoshin,tokyo-metro-17000,active,,draft
tokyo-metro.fukutoshin,tokyu-5000,active,,draft
tokyo-metro.fukutoshin,minatomirai-y500,active,,draft
tokyo-metro.fukutoshin,tobu-9000,active,,draft
tokyo-metro.fukutoshin,tobu-50000,active,,draft
tokyo-metro.fukutoshin,seibu-6000,active,,draft
tokyo-metro.fukutoshin,seibu-40000,active,,draft
tokyo-metro.fukutoshin,sotetsu-20000,active,,draft
tokyo-metro.fukutoshin,tokyo-metro-7000,retired,,draft
tokyo-metro.namboku,tokyo-metro-9000,active,,draft
tokyo-metro.namboku,tokyu-3000,active,,draft
tokyo-metro.namboku,tokyu-3020,active,,draft
tokyo-metro.namboku,tokyu-5080,active,,draft
tokyo-metro.namboku,saitama-railway-2000,active,,draft
tokyo-metro.namboku,sotetsu-21000,active,,draft
tokyo-metro.hanzomon,tokyo-metro-08,active,,draft
tokyo-metro.hanzomon,tokyo-metro-18000,active,,draft
tokyo-metro.hanzomon,tokyo-metro-8000,active,,draft
tokyo-metro.hanzomon,tokyu-5000,active,,draft
tokyo-metro.hanzomon,tokyu-2020,active,,draft
tokyo-metro.hanzomon,tobu-50000,active,,draft
toei.asakusa,toei-5500,active,,draft
toei.asakusa,keisei-3000,active,,draft
toei.asakusa,keisei-3100,active,,draft
toei.asakusa,keikyu-600,active,,draft
toei.asakusa,keikyu-1000,active,,draft
toei.asakusa,toei-5300,retired,,draft
toei.mita,toei-6500,active,,draft
toei.mita,toei-6300,active,,draft
toei.mita,tokyu-3000,active,,draft
toei.mita,tokyu-3020,active,,draft
toei.mita,tokyu-5080,active,,draft
toei.mita,sotetsu-21000,active,,draft
toei.mita,toei-6000,retired,,draft
toei.shinjuku,toei-10-300,active,,draft
toei.shinjuku,keio-5000,active,,draft
toei.shinjuku,keio-9000,active,,draft
toei.shinjuku,toei-10-000,retired,,draft
toei.oedo,toei-12-000,active,,draft
toei.oedo,toei-12-600,active,,draft
toei.toden-arakawa,toei-8500,active,,draft
toei.toden-arakawa,toei-8800,active,,draft
toei.toden-arakawa,toei-8900,active,,draft
toei.toden-arakawa,toei-9000,active,,draft
toei.toden-arakawa,toei-7000,retired,,draft
toei.nippori-toneri-liner,nippori-toneri-300,active,,draft
toei.nippori-toneri-liner,nippori-toneri-320,active,,draft
toei.nippori-toneri-liner,nippori-toneri-330,active,,draft
keio.keio,keio-8000,active,,draft
keio.keio,keio-9000,active,,draft
keio.keio,keio-7000,active,,draft
keio.keio,keio-5000,active,,draft
keio.keio,toei-10-300,active,,draft
keio.keio,keio-6000,retired,,draft
keio.sagamihara,keio-8000,active,,draft
keio.sagamihara,keio-9000,active,,draft
keio.sagamihara,keio-7000,active,,draft
keio.sagamihara,keio-5000,active,,draft
keio.sagamihara,toei-10-300,active,,draft
keio.sagamihara,keio-6000,retired,,draft
keio.takao,keio-8000,active,,draft
keio.takao,keio-9000,active,,draft
keio.takao,keio-7000,active,,draft
keio.takao,keio-5000,active,,draft
keio.takao,keio-6000,retired,,draft
keio.keibajo,keio-7000,active,,draft
keio.keibajo,keio-6000,retired,,draft
keio.dobutsuen,keio-7000,active,,draft
keio.dobutsuen,keio-6000,retired,,draft
keio.inokashira,keio-1000,active,,draft
keio.inokashira,keio-3000,retired,,draft
odakyu.odawara,odakyu-1000,active,,draft
odakyu.odawara,odakyu-3000,active,,draft
odakyu.odawara,odakyu-4000,active,,draft
odakyu.odawara,odakyu-5000,active,,draft
odakyu.odawara,odakyu-8000,active,,draft
odakyu.odawara,odakyu-30000-exe,active,,draft
odakyu.odawara,odakyu-60000-mse,active,,draft
odakyu.odawara,odakyu-70000-gse,active,,draft
odakyu.odawara,tokyo-metro-16000,active,,draft
odakyu.odawara,e233,active,,draft
odakyu.odawara,odakyu-9000,retired,,draft
odakyu.odawara,odakyu-7000-lse,retired,,draft
odakyu.odawara,odakyu-10000-hise,retired,,draft
odakyu.odawara,odakyu-50000-vse,retired,,draft
odakyu.enoshima,odakyu-1000,active,,draft
odakyu.enoshima,odakyu-3000,active,,draft
odakyu.enoshima,odakyu-5000,active,,draft
odakyu.enoshima,odakyu-8000,active,,draft
odakyu.enoshima,odakyu-30000-exe,active,,draft
odakyu.enoshima,odakyu-60000-mse,active,,draft
odakyu.enoshima,odakyu-9000,retired,,draft
odakyu.enoshima,odakyu-7000-lse,retired,,draft
odakyu.enoshima,odakyu-10000-hise,retired,,draft
odakyu.tama,odakyu-1000,active,,draft
odakyu.tama,odakyu-3000,active,,draft
odakyu.tama,odakyu-5000,active,,draft
odakyu.tama,odakyu-8000,active,,draft
odakyu.tama,odakyu-9000,retired,,draft
